Category: All categories

Time,Elections to the European Parliament: (United Kingdom)
2019-05-26T10:28:00+01:00,8
2019-05-26T10:36:00+01:00,8
2019-05-26T10:44:00+01:00,8
2019-05-26T10:52:00+01:00,7
2019-05-26T11:00:00+01:00,7
2019-05-26T11:08:00+01:00,7
2019-05-26T11:16:00+01:00,7
2019-05-26T11:24:00+01:00,7
2019-05-26T11:32:00+01:00,7
2019-05-26T11:40:00+01:00,7
2019-05-26T11:48:00+01:00,6
2019-05-26T11:56:00+01:00,6
2019-05-26T12:04:00+01:00,6
2019-05-26T12:12:00+01:00,7
2019-05-26T12:20:00+01:00,6
2019-05-26T12:28:00+01:00,7
2019-05-26T12:36:00+01:00,6
2019-05-26T12:44:00+01:00,6
2019-05-26T12:52:00+01:00,6
2019-05-26T13:00:00+01:00,8
2019-05-26T13:08:00+01:00,6
2019-05-26T13:16:00+01:00,6
2019-05-26T13:24:00+01:00,6
2019-05-26T13:32:00+01:00,6
2019-05-26T13:40:00+01:00,6
2019-05-26T13:48:00+01:00,6
2019-05-26T13:56:00+01:00,6
2019-05-26T14:04:00+01:00,6
2019-05-26T14:12:00+01:00,6
2019-05-26T14:20:00+01:00,7
2019-05-26T14:28:00+01:00,6
2019-05-26T14:36:00+01:00,6
2019-05-26T14:44:00+01:00,6
2019-05-26T14:52:00+01:00,6
2019-05-26T15:00:00+01:00,6
2019-05-26T15:08:00+01:00,6
2019-05-26T15:16:00+01:00,6
2019-05-26T15:24:00+01:00,6
2019-05-26T15:32:00+01:00,7
2019-05-26T15:40:00+01:00,6
2019-05-26T15:48:00+01:00,7
2019-05-26T15:56:00+01:00,7
2019-05-26T16:04:00+01:00,7
2019-05-26T16:12:00+01:00,7
2019-05-26T16:20:00+01:00,8
2019-05-26T16:28:00+01:00,8
2019-05-26T16:36:00+01:00,8
2019-05-26T16:44:00+01:00,9
2019-05-26T16:52:00+01:00,9
2019-05-26T17:00:00+01:00,11
2019-05-26T17:08:00+01:00,13
2019-05-26T17:16:00+01:00,12
2019-05-26T17:24:00+01:00,12
2019-05-26T17:32:00+01:00,12
2019-05-26T17:40:00+01:00,14
2019-05-26T17:48:00+01:00,14
2019-05-26T17:56:00+01:00,13
2019-05-26T18:04:00+01:00,13
2019-05-26T18:12:00+01:00,12
2019-05-26T18:20:00+01:00,13
2019-05-26T18:28:00+01:00,13
2019-05-26T18:36:00+01:00,13
2019-05-26T18:44:00+01:00,14
2019-05-26T18:52:00+01:00,14
2019-05-26T19:00:00+01:00,15
2019-05-26T19:08:00+01:00,15
2019-05-26T19:16:00+01:00,15
2019-05-26T19:24:00+01:00,15
2019-05-26T19:32:00+01:00,16
2019-05-26T19:40:00+01:00,17
2019-05-26T19:48:00+01:00,16
2019-05-26T19:56:00+01:00,17
2019-05-26T20:04:00+01:00,17
2019-05-26T20:12:00+01:00,17
2019-05-26T20:20:00+01:00,18
2019-05-26T20:28:00+01:00,18
2019-05-26T20:36:00+01:00,18
2019-05-26T20:44:00+01:00,19
2019-05-26T20:52:00+01:00,20
2019-05-26T21:00:00+01:00,22
2019-05-26T21:08:00+01:00,24
2019-05-26T21:16:00+01:00,24
2019-05-26T21:24:00+01:00,25
2019-05-26T21:32:00+01:00,26
2019-05-26T21:40:00+01:00,26
2019-05-26T21:48:00+01:00,27
2019-05-26T21:56:00+01:00,42
2019-05-26T22:04:00+01:00,56
2019-05-26T22:12:00+01:00,61
2019-05-26T22:20:00+01:00,64
2019-05-26T22:28:00+01:00,72
2019-05-26T22:36:00+01:00,74
2019-05-26T22:44:00+01:00,75
2019-05-26T22:52:00+01:00,80
2019-05-26T23:00:00+01:00,82
2019-05-26T23:08:00+01:00,84
2019-05-26T23:16:00+01:00,79
2019-05-26T23:24:00+01:00,85
2019-05-26T23:32:00+01:00,93
2019-05-26T23:40:00+01:00,96
2019-05-26T23:48:00+01:00,100
2019-05-26T23:56:00+01:00,98
2019-05-27T00:04:00+01:00,95
2019-05-27T00:12:00+01:00,86
2019-05-27T00:20:00+01:00,77
2019-05-27T00:28:00+01:00,76
2019-05-27T00:36:00+01:00,73
2019-05-27T00:44:00+01:00,80
2019-05-27T00:52:00+01:00,74
2019-05-27T01:00:00+01:00,75
2019-05-27T01:08:00+01:00,73
2019-05-27T01:16:00+01:00,67
2019-05-27T01:24:00+01:00,67
2019-05-27T01:32:00+01:00,60
2019-05-27T01:40:00+01:00,57
2019-05-27T01:48:00+01:00,53
2019-05-27T01:56:00+01:00,51
2019-05-27T02:04:00+01:00,48
2019-05-27T02:12:00+01:00,48
2019-05-27T02:20:00+01:00,49
2019-05-27T02:28:00+01:00,45
2019-05-27T02:36:00+01:00,45
2019-05-27T02:44:00+01:00,43
2019-05-27T02:52:00+01:00,46
2019-05-27T03:00:00+01:00,46
2019-05-27T03:08:00+01:00,42
2019-05-27T03:16:00+01:00,43
2019-05-27T03:24:00+01:00,41
2019-05-27T03:32:00+01:00,41
2019-05-27T03:40:00+01:00,38
2019-05-27T03:48:00+01:00,42
2019-05-27T03:56:00+01:00,39
2019-05-27T04:04:00+01:00,45
2019-05-27T04:12:00+01:00,43
2019-05-27T04:20:00+01:00,49
2019-05-27T04:28:00+01:00,47
2019-05-27T04:36:00+01:00,50
2019-05-27T04:44:00+01:00,55
2019-05-27T04:52:00+01:00,52
2019-05-27T05:00:00+01:00,57
2019-05-27T05:08:00+01:00,53
2019-05-27T05:16:00+01:00,63
2019-05-27T05:24:00+01:00,66
2019-05-27T05:32:00+01:00,66
2019-05-27T05:40:00+01:00,68
2019-05-27T05:48:00+01:00,74
2019-05-27T05:56:00+01:00,72
2019-05-27T06:04:00+01:00,80
2019-05-27T06:12:00+01:00,81
2019-05-27T06:20:00+01:00,81
2019-05-27T06:28:00+01:00,86
2019-05-27T06:36:00+01:00,87
2019-05-27T06:44:00+01:00,81
2019-05-27T06:52:00+01:00,83
2019-05-27T07:00:00+01:00,88
2019-05-27T07:08:00+01:00,83
2019-05-27T07:16:00+01:00,80
2019-05-27T07:24:00+01:00,81
2019-05-27T07:32:00+01:00,79
2019-05-27T07:40:00+01:00,81
2019-05-27T07:48:00+01:00,74
2019-05-27T07:56:00+01:00,80
2019-05-27T08:04:00+01:00,78
2019-05-27T08:12:00+01:00,66
2019-05-27T08:20:00+01:00,64
2019-05-27T08:28:00+01:00,65
2019-05-27T08:36:00+01:00,61
2019-05-27T08:44:00+01:00,61
2019-05-27T08:52:00+01:00,58
2019-05-27T09:00:00+01:00,54
2019-05-27T09:08:00+01:00,49
2019-05-27T09:16:00+01:00,48
2019-05-27T09:24:00+01:00,46
2019-05-27T09:32:00+01:00,44
2019-05-27T09:40:00+01:00,41
2019-05-27T09:48:00+01:00,40
2019-05-27T09:56:00+01:00,38
2019-05-27T10:04:00+01:00,36
2019-05-27T10:12:00+01:00,33
2019-05-27T10:20:00+01:00,36
